Date,Open,High,Low,Close_,AdjClose__,Volume
"Dec 14, 2020","6,546.80","6,583.70","6,524.70","6,531.80","6,531.80","870,265,400"
"Dec 11, 2020","6,599.80","6,607.40","6,520.50","6,546.80","6,546.80","1,069,085,700"
"Dec 10, 2020","6,564.30","6,640.70","6,561.10","6,599.80","6,599.80","1,109,877,200"
"Dec 09, 2020","6,558.80","6,623.00","6,558.80","6,564.30","6,564.30","769,345,300"
"Dec 08, 2020","6,555.40","6,567.60","6,518.40","6,558.80","6,558.80","758,186,800"
"Dec 07, 2020","6,550.20","6,601.10","6,519.80","6,555.40","6,555.40","1,058,250,500"
"Dec 04, 2020","6,490.30","6,559.20","6,489.80","6,550.20","6,550.20","1,073,110,600"
"Dec 03, 2020","6,463.40","6,491.50","6,430.30","6,490.30","6,490.30","943,214,500"
"Dec 02, 2020","6,384.70","6,468.60","6,367.50","6,463.40","6,463.40","936,842,800"
"Dec 01, 2020","6,266.20","6,400.20","6,263.60","6,384.70","6,384.70","839,858,300"
"Nov 30, 2020","6,367.60","6,404.00","6,266.20","6,266.20","6,266.20","1,355,075,300"
"Nov 27, 2020","6,362.90","6,375.90","6,302.20","6,367.60","6,367.60","1,448,127,900"
"Nov 26, 2020","6,391.10","6,412.70","6,349.50","6,362.90","6,362.90","736,272,500"
"Nov 25, 2020","6,432.20","6,468.70","6,375.30","6,391.10","6,391.10","1,129,314,000"
"Nov 24, 2020","6,333.80","6,432.40","6,333.70","6,432.20","6,432.20","1,301,560,700"
"Nov 23, 2020","6,351.50","6,392.10","6,325.20","6,333.80","6,333.80","943,708,400"
"Nov 20, 2020","6,334.40","6,386.70","6,324.60","6,351.50","6,351.50","821,112,500"
"Nov 19, 2020","6,385.20","6,385.20","6,314.30","6,334.40","6,334.40","929,024,200"
"Nov 18, 2020","6,365.30","6,395.90","6,326.70","6,385.20","6,385.20","979,740,000"
"Nov 17, 2020","6,421.30","6,424.50","6,309.00","6,365.30","6,365.30","1,225,248,200"
"Nov 16, 2020","6,316.40","6,463.50","6,316.40","6,421.30","6,421.30","1,293,581,100"
"Nov 13, 2020","6,338.90","6,339.00","6,280.40","6,316.40","6,316.40","1,010,712,500"
"Nov 12, 2020","6,382.10","6,382.10","6,295.80","6,338.90","6,338.90","1,014,492,200"
"Nov 11, 2020","6,296.90","6,397.30","6,293.20","6,382.10","6,382.10","1,283,397,300"
"Nov 10, 2020","6,186.30","6,307.00","6,180.50","6,296.90","6,296.90","1,717,346,100"
"Nov 09, 2020","5,910.00","6,258.30","5,910.00","6,186.30","6,186.30","2,067,706,200"
"Nov 06, 2020","5,906.20","5,950.20","5,858.50","5,910.00","5,910.00","848,478,100"
"Nov 05, 2020","5,883.30","5,933.10","5,881.90","5,906.20","5,906.20","900,001,200"
"Nov 04, 2020","5,786.80","5,885.70","5,711.20","5,883.30","5,883.30","781,517,600"
"Nov 03, 2020","5,655.00","5,787.60","5,655.00","5,786.80","5,786.80","803,790,300"
"Nov 02, 2020","5,577.30","5,665.30","5,554.70","5,655.00","5,655.00","755,064,600"
