Date,Open,High,Low,Close_,AdjClose__,Volume
"Apr 15, 2021","6,939.60","6,994.90","6,939.30","6,983.50","6,983.50","651,402,900"
"Apr 14, 2021","6,890.50","6,942.30","6,880.70","6,939.60","6,939.60","596,867,000"
"Apr 13, 2021","6,889.10","6,895.10","6,859.70","6,890.50","6,890.50","572,405,700"
"Apr 12, 2021","6,915.80","6,916.10","6,853.80","6,889.10","6,889.10","639,363,600"
"Apr 09, 2021","6,942.20","6,949.60","6,906.40","6,915.80","6,915.80","615,052,100"
"Apr 08, 2021","6,885.30","6,942.20","6,884.80","6,942.20","6,942.20","792,318,200"
"Apr 07, 2021","6,823.60","6,898.40","6,823.60","6,885.30","6,885.30","708,769,700"
"Apr 06, 2021","6,737.30","6,843.70","6,737.30","6,823.60","6,823.60","773,873,100"
"Apr 01, 2021","6,713.60","6,766.50","6,713.60","6,737.30","6,737.30","592,371,100"
"Mar 31, 2021","6,772.10","6,775.70","6,713.60","6,713.60","6,713.60","854,819,600"
"Mar 30, 2021","6,736.20","6,792.20","6,729.50","6,772.10","6,772.10","664,395,600"
"Mar 29, 2021","6,740.60","6,758.80","6,705.40","6,736.20","6,736.20","624,496,600"
"Mar 26, 2021","6,674.80","6,742.10","6,674.80","6,740.60","6,740.60","748,208,300"
"Mar 25, 2021","6,712.90","6,729.90","6,618.60","6,674.80","6,674.80","768,539,700"
"Mar 24, 2021","6,699.20","6,722.60","6,649.40","6,712.90","6,712.90","942,724,200"
"Mar 23, 2021","6,726.10","6,726.10","6,664.80","6,699.20","6,699.20","861,618,700"
"Mar 22, 2021","6,708.70","6,732.70","6,651.00","6,726.10","6,726.10","811,558,900"
"Mar 19, 2021","6,779.70","6,779.70","6,664.60","6,708.70","6,708.70","1,819,149,000"
"Mar 18, 2021","6,762.70","6,791.80","6,740.50","6,779.70","6,779.70","825,204,500"
"Mar 17, 2021","6,803.60","6,805.70","6,753.80","6,762.70","6,762.70","8,378,200"
"Mar 16, 2021","6,749.70","6,812.80","6,749.60","6,803.60","6,803.60","8,494,800"
"Mar 15, 2021","6,761.50","6,804.90","6,723.70","6,749.70","6,749.70","670,767,900"
"Mar 12, 2021","6,737.00","6,766.40","6,709.00","6,761.50","6,761.50","706,134,500"
"Mar 11, 2021","6,725.60","6,755.30","6,699.30","6,737.00","6,737.00","714,706,900"
"Mar 10, 2021","6,730.30","6,740.80","6,677.00","6,725.60","6,725.60","725,796,800"
"Mar 09, 2021","6,719.10","6,786.80","6,689.90","6,730.30","6,730.30","952,946,800"
"Mar 08, 2021","6,630.50","6,726.40","6,612.70","6,719.10","6,719.10","972,755,300"
"Mar 05, 2021","6,650.90","6,710.80","6,560.80","6,630.50","6,630.50","1,027,477,500"
"Mar 04, 2021","6,675.50","6,675.50","6,581.20","6,650.90","6,650.90","938,807,000"
"Mar 03, 2021","6,613.80","6,705.30","6,613.80","6,675.50","6,675.50","937,329,300"
"Mar 02, 2021","6,588.50","6,660.80","6,560.90","6,613.80","6,613.80","682,614,300"
"Mar 01, 2021","6,483.40","6,612.70","6,483.40","6,588.50","6,588.50","708,419,900"
"Feb 26, 2021","6,652.00","6,652.00","6,465.60","6,483.40","6,483.40","1,279,039,900"
"Feb 25, 2021","6,659.00","6,702.90","6,644.70","6,652.00","6,652.00","852,469,800"
"Feb 24, 2021","6,625.90","6,669.90","6,572.30","6,659.00","6,659.00","1,141,083,000"
"Feb 23, 2021","6,612.20","6,675.40","6,555.90","6,625.90","6,625.90","1,154,639,900"
"Feb 22, 2021","6,624.00","6,624.70","6,545.90","6,612.20","6,612.20","846,468,100"
"Feb 19, 2021","6,617.20","6,646.20","6,600.60","6,624.00","6,624.00","976,444,700"
"Feb 18, 2021","6,710.90","6,721.80","6,591.40","6,617.20","6,617.20","847,018,200"
"Feb 17, 2021","6,748.90","6,760.30","6,701.60","6,710.90","6,710.90","755,390,100"
"Feb 16, 2021","6,756.10","6,799.90","6,736.90","6,748.90","6,748.90","817,289,800"
"Feb 15, 2021","6,589.80","6,775.40","6,589.80","6,756.10","6,756.10","825,488,200"
"Feb 12, 2021","6,528.70","6,589.80","6,485.10","6,589.80","6,589.80","495,851,300"
"Feb 11, 2021","6,524.40","6,554.20","6,514.90","6,528.70","6,528.70","673,184,700"
"Feb 10, 2021","6,531.60","6,577.00","6,481.00","6,524.40","6,524.40","782,043,000"
"Feb 09, 2021","6,523.50","6,541.00","6,501.00","6,531.60","6,531.60","544,655,300"
"Feb 08, 2021","6,489.30","6,567.70","6,489.30","6,523.50","6,523.50","818,871,300"
"Feb 05, 2021","6,503.70","6,518.70","6,457.60","6,489.30","6,489.30","984,403,300"
"Feb 04, 2021","6,507.80","6,553.40","6,478.20","6,503.70","6,503.70","989,919,900"
"Feb 03, 2021","6,516.70","6,573.10","6,489.50","6,507.80","6,507.80","717,525,200"
"Feb 02, 2021","6,466.40","6,523.50","6,466.40","6,516.70","6,516.70","719,054,200"
"Feb 01, 2021","6,407.50","6,495.60","6,407.50","6,466.40","6,466.40","746,038,100"
"Jan 29, 2021","6,526.20","6,526.20","6,397.20","6,407.50","6,407.50","870,670,500"
"Jan 28, 2021","6,567.40","6,567.40","6,439.60","6,526.20","6,526.20","869,048,100"
"Jan 27, 2021","6,654.00","6,661.30","6,505.80","6,567.40","6,567.40","982,451,100"
